repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density
deployphp-deployer,6,7,45,210,0.214285714
deployphp-deployer,7,4,30,168,0.178571429
deployphp-deployer,8,3,28,168,0.166666667
deployphp-deployer,9,2,17,144,0.118055556
deployphp-deployer,10,2,25,180,0.138888889
deployphp-deployer,11,2,26,220,0.118181818
deployphp-deployer,2,227,255,454,0.561674009
deployphp-deployer,14,1,14,182,0.076923077
deployphp-deployer,15,1,16,210,0.076190476
deployphp-deployer,111,1,152,12210,0.012448812
deployphp-deployer,19,1,20,342,0.058479532
deployphp-deployer,21,1,23,420,0.054761905
duo-labs-cloudmapper,1,464,0,0,0
duo-labs-cloudmapper,2,98,108,196,0.551020408
duo-labs-cloudmapper,3,22,56,132,0.424242424
duo-labs-cloudmapper,4,5,16,60,0.266666667
duo-labs-cloudmapper,5,3,15,60,0.25
duo-labs-cloudmapper,6,3,22,90,0.244444444
duo-labs-cloudmapper,7,1,9,42,0.214285714
duo-labs-cloudmapper,8,1,11,56,0.196428571
duo-labs-cloudmapper,10,1,9,90,0.1
duo-labs-cloudmapper,11,1,14,110,0.127272727
duo-labs-cloudmapper,12,1,12,132,0.090909091
duo-labs-cloudmapper,45,1,63,1980,0.031818182
duo-labs-cloudmapper,17,1,20,272,0.073529412
duo-labs-cloudmapper,19,1,25,342,0.073099415
duo-labs-cloudmapper,21,1,22,420,0.052380952
fantasyland-fantasy-land,1,138,0,0,0
fantasyland-fantasy-land,2,12,14,24,0.583333333
fantasyland-fantasy-land,3,6,17,36,0.472222222
fantasyland-fantasy-land,4,2,6,24,0.25
fantasyland-fantasy-land,5,1,7,20,0.35
fantasyland-fantasy-land,139,1,225,19182,0.011729747
Flipboard-bottomsheet,1,145,0,0,0
Flipboard-bottomsheet,2,19,21,38,0.552631579
Flipboard-bottomsheet,3,7,16,42,0.380952381
Flipboard-bottomsheet,4,1,3,12,0.25
Flipboard-bottomsheet,5,1,4,20,0.2
go-chi-chi,1,473,0,0,0
go-chi-chi,2,61,69,122,0.56557377
go-chi-chi,3,16,45,96,0.46875
go-chi-chi,4,5,26,60,0.433333333
go-chi-chi,7,1,10,42,0.238095238
go-chi-chi,13,1,15,156,0.096153846
go-chi-chi,18,1,28,306,0.091503268
go-chi-chi,27,1,30,702,0.042735043
grpc-grpc-web,1,718,0,0,0
grpc-grpc-web,2,81,90,162,0.555555556
grpc-grpc-web,3,18,48,108,0.444444444
grpc-grpc-web,4,14,50,168,0.297619048
grpc-grpc-web,5,9,40,180,0.222222222
grpc-grpc-web,6,4,25,120,0.208333333
grpc-grpc-web,7,3,22,126,0.174603175
grpc-grpc-web,8,3,26,168,0.154761905
grpc-grpc-web,41,1,47,1640,0.028658537
grpc-grpc-web,10,1,16,90,0.177777778
grpc-grpc-web,9,1,11,72,0.152777778
grpc-grpc-web,12,1,14,132,0.106060606
grpc-grpc-web,47,1,59,2162,0.027289547
grpc-grpc-web,28,1,32,756,0.042328042
imbrn-v8n,1,145,0,0,0
imbrn-v8n,2,28,30,56,0.535714286
imbrn-v8n,3,3,9,18,0.5
imbrn-v8n,5,1,4,20,0.2
imbrn-v8n,6,1,8,30,0.266666667
imbrn-v8n,12,1,19,132,0.143939394
iron-iron,1,434,0,0,0
iron-iron,2,39,45,78,0.576923077
iron-iron,3,15,33,90,0.366666667
iron-iron,4,4,13,48,0.270833333
iron-iron,5,2,8,40,0.2
iron-iron,7,1,8,42,0.19047619
iron-iron,39,1,59,1482,0.039811066
iron-iron,11,1,11,110,0.1
jhen0409-react-native-debugger,32,1,47,992,0.047379032
jhen0409-react-native-debugger,1,454,0,0,0
jhen0409-react-native-debugger,2,46,52,92,0.565217391
jhen0409-react-native-debugger,3,10,21,60,0.35
jhen0409-react-native-debugger,4,8,28,96,0.291666667
jhen0409-react-native-debugger,5,3,12,60,0.2
jhen0409-react-native-debugger,8,1,8,56,0.142857143
jhen0409-react-native-debugger,9,1,9,72,0.125
jhen0409-react-native-debugger,11,1,10,110,0.090909091
jhen0409-react-native-debugger,13,2,28,312,0.08974359
John-Lluch-SWRevealViewController,1,670,0,0,0
John-Lluch-SWRevealViewController,2,26,27,52,0.519230769
John-Lluch-SWRevealViewController,3,7,16,42,0.380952381
John-Lluch-SWRevealViewController,4,2,6,24,0.25
John-Lluch-SWRevealViewController,5,2,8,40,0.2
John-Lluch-SWRevealViewController,9,2,17,144,0.118055556
John-Lluch-SWRevealViewController,11,1,12,110,0.109090909
John-Lluch-SWRevealViewController,15,1,14,210,0.066666667
John-Lluch-SWRevealViewController,18,1,18,306,0.058823529
jonschlinkert-remarkable,1,313,0,0,0
jonschlinkert-remarkable,2,17,18,34,0.529411765
jonschlinkert-remarkable,3,8,19,48,0.395833333
jonschlinkert-remarkable,4,2,6,24,0.25
jonschlinkert-remarkable,5,1,6,20,0.3
jonschlinkert-remarkable,6,2,10,60,0.166666667
jonschlinkert-remarkable,19,1,27,342,0.078947368
jupyterhub-jupyterhub,1,2124,0,0,0
jupyterhub-jupyterhub,2,368,465,736,0.631793478
jupyterhub-jupyterhub,3,95,246,570,0.431578947
jupyterhub-jupyterhub,4,31,113,372,0.303763441
jupyterhub-jupyterhub,5,9,44,180,0.244444444
jupyterhub-jupyterhub,6,10,62,300,0.206666667
jupyterhub-jupyterhub,7,6,50,252,0.198412698
jupyterhub-jupyterhub,8,5,42,280,0.15
jupyterhub-jupyterhub,9,2,18,144,0.125
jupyterhub-jupyterhub,10,5,66,450,0.146666667
jupyterhub-jupyterhub,11,1,12,110,0.109090909
jupyterhub-jupyterhub,12,2,27,264,0.102272727
jupyterhub-jupyterhub,15,1,18,210,0.085714286
jupyterhub-jupyterhub,16,1,20,240,0.083333333
jupyterhub-jupyterhub,17,1,23,272,0.084558824
jupyterhub-jupyterhub,18,1,28,306,0.091503268
jupyterhub-jupyterhub,21,1,23,420,0.054761905
jupyterhub-jupyterhub,30,1,45,870,0.051724138
jupyterhub-jupyterhub,176,1,234,30800,0.007597403
jupyterhub-jupyterhub,66,1,88,4290,0.020512821
kubernetes-sigs-kustomize,1,2272,0,0,0
kubernetes-sigs-kustomize,2,268,303,536,0.565298507
kubernetes-sigs-kustomize,3,71,171,426,0.401408451
kubernetes-sigs-kustomize,4,32,128,384,0.333333333
kubernetes-sigs-kustomize,5,13,63,260,0.242307692
kubernetes-sigs-kustomize,6,8,49,240,0.204166667
kubernetes-sigs-kustomize,7,10,76,420,0.180952381
kubernetes-sigs-kustomize,8,5,43,280,0.153571429
kubernetes-sigs-kustomize,9,1,9,72,0.125
kubernetes-sigs-kustomize,10,2,24,180,0.133333333
kubernetes-sigs-kustomize,11,1,17,110,0.154545455
kubernetes-sigs-kustomize,13,1,16,156,0.102564103
kubernetes-sigs-kustomize,15,1,17,210,0.080952381
kubernetes-sigs-kustomize,1268,1,1932,1606556,0.001202572
MagicStack-uvloop,1,241,0,0,0
MagicStack-uvloop,2,48,54,96,0.5625
MagicStack-uvloop,3,10,23,60,0.383333333
MagicStack-uvloop,4,5,16,60,0.266666667
MagicStack-uvloop,6,1,10,30,0.333333333
MagicStack-uvloop,7,1,8,42,0.19047619
MagicStack-uvloop,8,1,12,56,0.214285714
MagicStack-uvloop,12,1,13,132,0.098484848
MagicStack-uvloop,44,1,70,1892,0.036997886
MagicStack-uvloop,13,1,15,156,0.096153846
marko-js-marko,1,1199,0,0,0
marko-js-marko,2,147,162,294,0.551020408
marko-js-marko,3,28,63,168,0.375
marko-js-marko,4,11,38,132,0.287878788
marko-js-marko,5,6,26,120,0.216666667
marko-js-marko,6,2,10,60,0.166666667
marko-js-marko,7,2,12,84,0.142857143
marko-js-marko,8,1,7,56,0.125
marko-js-marko,41,1,56,1640,0.034146341
marko-js-marko,10,2,24,180,0.133333333
marko-js-marko,11,1,17,110,0.154545455
marko-js-marko,12,1,13,132,0.098484848
marko-js-marko,17,2,39,544,0.071691176
metafizzy-flickity,33,1,38,1056,0.035984848
metafizzy-flickity,2,51,52,102,0.509803922
metafizzy-flickity,3,21,45,126,0.357142857
metafizzy-flickity,4,6,20,72,0.277777778
metafizzy-flickity,5,6,25,120,0.208333333
metafizzy-flickity,6,1,6,30,0.2
metafizzy-flickity,7,2,12,84,0.142857143
metafizzy-flickity,8,1,7,56,0.125
metafizzy-flickity,9,1,9,72,0.125
metafizzy-flickity,10,1,9,90,0.1
metafizzy-flickity,1,812,0,0,0
metafizzy-flickity,12,1,12,132,0.090909091
metafizzy-flickity,13,1,13,156,0.083333333
metafizzy-flickity,14,1,15,182,0.082417582
metafizzy-flickity,49,1,60,2352,0.025510204
metafizzy-flickity,17,1,21,272,0.077205882
metafizzy-flickity,22,1,23,462,0.04978355
mgonto-restangular,1,1057,0,0,0
mgonto-restangular,2,89,96,178,0.539325843
mgonto-restangular,3,23,51,138,0.369565217
mgonto-restangular,4,5,18,60,0.3
mgonto-restangular,5,3,16,60,0.266666667
mgonto-restangular,38,1,43,1406,0.030583215
mgonto-restangular,7,4,28,168,0.166666667
mgonto-restangular,6,3,19,90,0.211111111
mgonto-restangular,9,2,20,144,0.138888889
mgonto-restangular,10,1,14,90,0.155555556
mgonto-restangular,11,1,12,110,0.109090909
mgonto-restangular,14,1,17,182,0.093406593
mgonto-restangular,16,1,23,240,0.095833333
MithrilJS-mithril.js,801,1,1280,640800,0.001997503
MithrilJS-mithril.js,2,165,191,330,0.578787879
MithrilJS-mithril.js,3,35,85,210,0.404761905
MithrilJS-mithril.js,4,20,73,240,0.304166667
MithrilJS-mithril.js,5,3,20,60,0.333333333
MithrilJS-mithril.js,6,5,32,150,0.213333333
MithrilJS-mithril.js,7,2,17,84,0.202380952
MithrilJS-mithril.js,8,1,11,56,0.196428571
MithrilJS-mithril.js,9,1,10,72,0.138888889
MithrilJS-mithril.js,1,1316,0,0,0
MithrilJS-mithril.js,14,1,15,182,0.082417582
MithrilJS-mithril.js,25,1,43,600,0.071666667
mlflow-mlflow,1,3313,0,0,0
mlflow-mlflow,2,502,598,1004,0.59561753
mlflow-mlflow,3,127,296,762,0.388451444
mlflow-mlflow,4,53,209,636,0.328616352
mlflow-mlflow,5,39,197,780,0.252564103
mlflow-mlflow,6,15,95,450,0.211111111
mlflow-mlflow,7,9,74,378,0.195767196
mlflow-mlflow,8,11,96,616,0.155844156
mlflow-mlflow,9,8,84,576,0.145833333
mlflow-mlflow,10,4,43,360,0.119444444
mlflow-mlflow,11,5,59,550,0.107272727
mlflow-mlflow,12,7,94,924,0.101731602
mlflow-mlflow,13,4,67,624,0.107371795
mlflow-mlflow,14,1,17,182,0.093406593
mlflow-mlflow,15,5,91,1050,0.086666667
mlflow-mlflow,18,1,46,306,0.150326797
mlflow-mlflow,20,1,24,380,0.063157895
mlflow-mlflow,21,1,26,420,0.061904762
mlflow-mlflow,24,2,55,1104,0.049818841
mlflow-mlflow,25,1,30,600,0.05
mlflow-mlflow,27,1,39,702,0.055555556
mlflow-mlflow,30,1,38,870,0.043678161
mlflow-mlflow,38,1,46,1406,0.032716927
mlflow-mlflow,40,1,55,1560,0.03525641
mlflow-mlflow,41,1,57,1640,0.034756098
mlflow-mlflow,82,1,104,6642,0.015657934
mlflow-mlflow,88,1,124,7656,0.016196447
nytimes-NYTPhotoViewer,1,185,0,0,0
nytimes-NYTPhotoViewer,2,24,27,48,0.5625
nytimes-NYTPhotoViewer,3,7,15,42,0.357142857
nytimes-NYTPhotoViewer,4,2,8,24,0.333333333
nytimes-NYTPhotoViewer,39,1,65,1482,0.043859649
nytimes-NYTPhotoViewer,8,1,11,56,0.196428571
nytimes-NYTPhotoViewer,9,1,10,72,0.138888889
nytimes-NYTPhotoViewer,7,1,7,42,0.166666667
nytimes-NYTPhotoViewer,11,1,12,110,0.109090909
nytimes-NYTPhotoViewer,14,1,25,182,0.137362637
pagekit-pagekit,1,785,0,0,0
pagekit-pagekit,2,45,47,90,0.522222222
pagekit-pagekit,3,13,26,78,0.333333333
pagekit-pagekit,4,5,17,60,0.283333333
pagekit-pagekit,5,3,15,60,0.25
pagekit-pagekit,6,1,5,30,0.166666667
pagekit-pagekit,8,1,7,56,0.125
Project-OSRM-osrm-backend,1,2736,0,0,0
Project-OSRM-osrm-backend,2,395,465,790,0.588607595
Project-OSRM-osrm-backend,3,91,221,546,0.404761905
Project-OSRM-osrm-backend,4,42,170,504,0.337301587
Project-OSRM-osrm-backend,5,17,90,340,0.264705882
Project-OSRM-osrm-backend,6,11,72,330,0.218181818
Project-OSRM-osrm-backend,7,9,72,378,0.19047619
Project-OSRM-osrm-backend,8,6,58,336,0.172619048
Project-OSRM-osrm-backend,41,1,55,1640,0.033536585
Project-OSRM-osrm-backend,10,1,11,90,0.122222222
Project-OSRM-osrm-backend,9,3,34,216,0.157407407
Project-OSRM-osrm-backend,12,2,32,264,0.121212121
Project-OSRM-osrm-backend,13,1,16,156,0.102564103
Project-OSRM-osrm-backend,14,1,18,182,0.098901099
Project-OSRM-osrm-backend,15,1,21,210,0.1
Project-OSRM-osrm-backend,1879,1,3211,3528762,0.000909951
Project-OSRM-osrm-backend,25,1,31,600,0.051666667
ptomasroos-react-native-scrollable-tab-view,1,848,0,0,0
ptomasroos-react-native-scrollable-tab-view,2,48,54,96,0.5625
ptomasroos-react-native-scrollable-tab-view,3,22,52,132,0.393939394
ptomasroos-react-native-scrollable-tab-view,4,9,30,108,0.277777778
ptomasroos-react-native-scrollable-tab-view,5,4,16,80,0.2
ptomasroos-react-native-scrollable-tab-view,6,6,40,180,0.222222222
ptomasroos-react-native-scrollable-tab-view,7,5,40,210,0.19047619
ptomasroos-react-native-scrollable-tab-view,8,3,25,168,0.148809524
ptomasroos-react-native-scrollable-tab-view,17,1,19,272,0.069852941
Rapptz-discord.py,1,3541,0,0,0
Rapptz-discord.py,2,281,298,562,0.53024911
Rapptz-discord.py,3,70,160,420,0.380952381
Rapptz-discord.py,4,32,115,384,0.299479167
Rapptz-discord.py,5,14,64,280,0.228571429
Rapptz-discord.py,6,5,32,150,0.213333333
Rapptz-discord.py,7,5,33,210,0.157142857
Rapptz-discord.py,200,1,263,39800,0.00660804
Rapptz-discord.py,9,3,24,216,0.111111111
Rapptz-discord.py,10,3,40,270,0.148148148
Rapptz-discord.py,11,1,11,110,0.1
Rapptz-discord.py,8,1,7,56,0.125
Rapptz-discord.py,14,1,13,182,0.071428571
Rapptz-discord.py,15,2,32,420,0.076190476
rauchg-slackin,1,246,0,0,0
rauchg-slackin,2,22,24,44,0.545454545
rauchg-slackin,3,6,15,36,0.416666667
rauchg-slackin,4,3,13,36,0.361111111
rauchg-slackin,5,1,4,20,0.2
rauchg-slackin,6,1,9,30,0.3
rauchg-slackin,7,2,24,84,0.285714286
rauchg-slackin,10,1,14,90,0.155555556
rauchg-slackin,11,1,15,110,0.136363636
rauchg-slackin,27,1,33,702,0.047008547
redis-redis-rb,1,653,0,0,0
redis-redis-rb,2,62,75,124,0.60483871
redis-redis-rb,3,13,34,78,0.435897436
redis-redis-rb,4,10,35,120,0.291666667
redis-redis-rb,5,5,26,100,0.26
redis-redis-rb,6,5,36,150,0.24
redis-redis-rb,7,1,7,42,0.166666667
redis-redis-rb,9,1,12,72,0.166666667
redis-redis-rb,10,2,25,180,0.138888889
redis-redis-rb,12,1,15,132,0.113636364
redis-redis-rb,14,1,16,182,0.087912088
redis-redis-rb,15,3,49,630,0.077777778
redis-redis-rb,22,1,24,462,0.051948052
redis-redis-rb,23,1,28,506,0.055335968
redis-redis-rb,24,1,26,552,0.047101449
rematch-rematch,1,502,0,0,0
rematch-rematch,2,66,69,132,0.522727273
rematch-rematch,3,26,55,156,0.352564103
rematch-rematch,4,8,30,96,0.3125
rematch-rematch,5,5,22,100,0.22
rematch-rematch,7,2,13,84,0.154761905
rematch-rematch,8,2,17,112,0.151785714
rematch-rematch,10,1,17,90,0.188888889
rematch-rematch,78,1,94,6006,0.015651016
rematch-rematch,16,1,27,240,0.1125
rematch-rematch,23,1,30,506,0.059288538
rematch-rematch,25,1,31,600,0.051666667
rlidwka-sinopia,1,356,0,0,0
rlidwka-sinopia,2,24,25,48,0.520833333
rlidwka-sinopia,3,7,16,42,0.380952381
rlidwka-sinopia,4,3,10,36,0.277777778
rlidwka-sinopia,5,2,10,40,0.25
rlidwka-sinopia,8,1,7,56,0.125
rlidwka-sinopia,14,1,16,182,0.087912088
rlidwka-sinopia,23,1,24,506,0.04743083
roboguice-roboguice,1,259,0,0,0
roboguice-roboguice,2,19,20,38,0.526315789
roboguice-roboguice,3,4,9,24,0.375
roboguice-roboguice,4,3,9,36,0.25
roboguice-roboguice,5,1,6,20,0.3
roboguice-roboguice,6,1,9,30,0.3
roboguice-roboguice,19,1,24,342,0.070175439
sdc-alibaba-SUI-Mobile,1,956,0,0,0
sdc-alibaba-SUI-Mobile,2,27,28,54,0.518518519
sdc-alibaba-SUI-Mobile,3,7,15,42,0.357142857
sdc-alibaba-SUI-Mobile,4,4,15,48,0.3125
sdc-alibaba-SUI-Mobile,6,2,10,60,0.166666667
sdc-alibaba-SUI-Mobile,7,1,8,42,0.19047619
shadowsocks-shadowsocks-manager,1,620,0,0,0
shadowsocks-shadowsocks-manager,2,14,15,28,0.535714286
shadowsocks-shadowsocks-manager,3,2,5,12,0.416666667
shadowsocks-shadowsocks-manager,6,1,6,30,0.2
shadowsocks-shadowsocks-manager,13,1,13,156,0.083333333
sosedoff-pgweb,1,366,0,0,0
sosedoff-pgweb,2,57,60,114,0.526315789
sosedoff-pgweb,3,16,36,96,0.375
sosedoff-pgweb,4,6,22,72,0.305555556
sosedoff-pgweb,5,3,14,60,0.233333333
stacktracejs-stacktrace.js,1,187,0,0,0
stacktracejs-stacktrace.js,2,12,15,24,0.625
stacktracejs-stacktrace.js,3,3,6,18,0.333333333
stacktracejs-stacktrace.js,4,1,3,12,0.25
stacktracejs-stacktrace.js,5,1,5,20,0.25
summernote-summernote,1,2704,0,0,0
summernote-summernote,2,222,274,444,0.617117117
summernote-summernote,3,56,138,336,0.410714286
summernote-summernote,4,22,77,264,0.291666667
summernote-summernote,5,15,78,300,0.26
summernote-summernote,6,9,65,270,0.240740741
summernote-summernote,7,10,82,420,0.195238095
summernote-summernote,8,3,32,168,0.19047619
summernote-summernote,11,2,26,220,0.118181818
summernote-summernote,13,1,13,156,0.083333333
summernote-summernote,14,1,16,182,0.087912088
summernote-summernote,15,2,32,420,0.076190476
summernote-summernote,17,1,20,272,0.073529412
summernote-summernote,26,1,31,650,0.047692308
summernote-summernote,27,1,39,702,0.055555556
summernote-summernote,31,1,34,930,0.03655914
summernote-summernote,37,1,46,1332,0.034534535
summernote-summernote,49,1,72,2352,0.030612245
summernote-summernote,56,1,61,3080,0.019805195
summernote-summernote,367,1,477,134322,0.003551168
SwipeCellKit-SwipeCellKit,1,324,0,0,0
SwipeCellKit-SwipeCellKit,2,33,35,66,0.53030303
SwipeCellKit-SwipeCellKit,3,3,7,18,0.388888889
SwipeCellKit-SwipeCellKit,4,4,17,48,0.354166667
SwipeCellKit-SwipeCellKit,5,1,5,20,0.25
SwipeCellKit-SwipeCellKit,6,1,5,30,0.166666667
SwipeCellKit-SwipeCellKit,7,1,7,42,0.166666667
SwipeCellKit-SwipeCellKit,11,1,12,110,0.109090909
tensorpack-tensorpack,1,1189,0,0,0
tensorpack-tensorpack,34,1,38,1122,0.033868093
tensorpack-tensorpack,3,21,47,126,0.373015873
tensorpack-tensorpack,4,4,13,48,0.270833333
tensorpack-tensorpack,5,2,8,40,0.2
tensorpack-tensorpack,6,1,5,30,0.166666667
tensorpack-tensorpack,7,1,6,42,0.142857143
tensorpack-tensorpack,2,88,90,176,0.511363636
tensorpack-tensorpack,9,1,8,72,0.111111111
tensorpack-tensorpack,11,1,14,110,0.127272727
tensorpack-tensorpack,15,1,14,210,0.066666667
tensorpack-tensorpack,16,1,20,240,0.083333333
tiny-dnn-tiny-dnn,1,568,0,0,0
tiny-dnn-tiny-dnn,2,45,50,90,0.555555556
tiny-dnn-tiny-dnn,3,16,41,96,0.427083333
tiny-dnn-tiny-dnn,4,4,13,48,0.270833333
tiny-dnn-tiny-dnn,5,4,19,80,0.2375
tiny-dnn-tiny-dnn,6,2,11,60,0.183333333
tiny-dnn-tiny-dnn,7,1,7,42,0.166666667
tiny-dnn-tiny-dnn,8,1,12,56,0.214285714
tiny-dnn-tiny-dnn,282,1,369,79242,0.004656621
transitive-bullshit-create-react-library,1,260,0,0,0
transitive-bullshit-create-react-library,34,1,41,1122,0.036541889
transitive-bullshit-create-react-library,3,6,13,36,0.361111111
transitive-bullshit-create-react-library,4,3,10,36,0.277777778
transitive-bullshit-create-react-library,5,1,4,20,0.2
transitive-bullshit-create-react-library,2,16,16,32,0.5
transitive-bullshit-create-react-library,8,1,9,56,0.160714286
tristanhimmelman-ObjectMapper,1,810,0,0,0
tristanhimmelman-ObjectMapper,2,54,61,108,0.564814815
tristanhimmelman-ObjectMapper,3,11,27,66,0.409090909
tristanhimmelman-ObjectMapper,4,4,13,48,0.270833333
tristanhimmelman-ObjectMapper,5,3,20,60,0.333333333
tristanhimmelman-ObjectMapper,6,3,16,90,0.177777778
tristanhimmelman-ObjectMapper,7,1,9,42,0.214285714
tristanhimmelman-ObjectMapper,9,3,34,216,0.157407407
tristanhimmelman-ObjectMapper,76,1,86,5700,0.015087719
tristanhimmelman-ObjectMapper,17,1,22,272,0.080882353
tsayen-dom-to-image,1,296,0,0,0
